Id,Names,Nationality/State,Position held,Occupation,Year born,Year deceased,Gender,Other memberships,URL References
1,"Adams, John",Massachusetts,Delegate Continental Congress; Marine Committee; Envoy to France; Minister to the Netherlands; Committee on Spies; Peace Commissioner; Committee of Five; American Commissioners,Politician; Military; Attorney at Law; Farmer,1735,1826,M,American Philosophical Society; American Academy of Arts and Sciences,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=48298.xml
3,"Vergennes, Charles Gravier, Comte de",France,Minister of Foreign Affairs,Statesman; Diplomat,1719,1787,M,American Philosophical Society,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=59390.xml
4,"Adams, Abigail",Massachusetts,,Writer,1744,1818,V,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=48276.xml
6,"Adams, Abigail (daughter of JA and AA)",Massachusetts,,,1765,1813,V,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=58145.xml
7,"Palmer, Joseph",Massachusetts,Militia General; State Representative,Military; Militia; Politician; Manufacturer,1716,1788,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=56477.xml
8,"Warren, Mercy Otis",Massachusetts,,Poet; Playwright; Pamphleteer; Historian,1728,1814,V,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=59598.xml
9,"Adams, John Quincy",Massachusetts,,,1767,1848,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=48302.xml
11,"Thaxter, John",Massachusetts,,Attorney at Law,1755,1792,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=58901.xml
12,"Lovell, James",Massachusetts,Delegate Continental Congress; Committee of Foreign Correspondence; Committee of Secret Correspondence,Politician; Schoolmaster; Tax Collector; Diplomat,1737,1814,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=54941.xml
13,"Adams, Samuel",Massachusetts,Delegate Continental Congress,Politician; Brewer; Tax Collector,1722,1803,M,Sons of Liberty; American Academy of Arts and Sciences,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=48320.xml
14,"Jackson, William",South Carolina,Aide-de-camp; Assistant secretary of war,Military; Statesman,1759,1828,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=53909.xml
15,"Gerry, Elbridge",Massachusetts,Delegate Continental Congress,Politician; Merchant,1744,1814,M,American Academy of Arts and Sciences,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=52448.xml
16,"Washington, George",Virginia,General; Delegate Continental Congress,Military; Politician; Farmer; Slaveholder,1732,1799,M,American Philosophical Society; American Academy of Arts and Sciences; Society of the Cincinnati; Freemasons,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=59627.xml
17,"Warren, James",Massachusetts,General; Delegate Continental Congress; Continental Navy Board; State Representative,Military; Politician; Merchant; Farmer,1726,1808,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=59593.xml
18,"Hancock, John",Massachusetts,Delegate Continental Congress; President Continental Congress; Militia General,Politician; Merchant; Military; Militia,1737,1793,M,Sons of Liberty; American Academy of Arts and Sciences; Freemasons,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=53030.xml
19,"Heath, William",Massachusetts,General,Military; Farmer,1737,1814,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=53288.xml
21,"Osgood, Samuel",Massachusetts,Delegate Continental Congress; Aide-de-camp; State Representative,Politician; Military; Militia; Merchant,1747,1813,M,American Academy of Arts and Sciences,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=56399.xml
22,"Gates, Horatio",Virginia,General,Military,1727,1806,M,Society of the Cincinnati,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=52408.xml
23,"Cooper, Samuel",Massachusetts,,Clergy; Pamphleteer,1725,1783,M,American Academy of Arts and Sciences,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=50766.xml
24,"Knox, Henry",Massachusetts,General,Military; Bookseller,1750,1806,M,Society of the Cincinnati,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=54321.xml
