sLabel,label,year,coordinates
Bedford,MA,1640,Point(-71.276666666 42.490555555)
Bourne,MA,1640,Point(-70.599444444 41.741111111)
Burlington,MA,1640,Point(-71.196111111 42.504722222)
Burlington,MA,1640,Point(-71.19561 42.50482)
Chicopee,MA,1640,Point(-72.608333333 42.148611111)
Greenwich,CT,1640,Point(-73.62846 41.02649)
Haverhill,MA,1640,Point(-71.083333333 42.783333333)
Lexington,MA,1640,Point(-71.225 42.444444444)
Malden,MA,1640,Point(-71.066666666 42.425)
New Bedford,MA,1640,Point(-70.934722222 41.636111111)
New Castle,DE,1640,Point(-75.565277777 39.664722222)
Norwalk,CT,1640,Point(-73.419722222 41.093888888)
Southampton,NY,1640,Point(-72.395277777 40.885277777)
Southold,NY,1640,Point(-72.426111111 41.064722222)
Westwood,MA,1640,Point(-71.225 42.213888888)
Westwood,MA,1640,Point(-71.2245 42.21399)
Winchester,MA,1640,Point(-71.1375 42.452222222)
Woburn,MA,1640,Point(-71.152777777 42.479166666)
Farmington,CT,1641,Point(-72.840277777 41.727777777)
Gosnold,MA,1641,Point(-70.756944444 41.481666666)
Newport,DE,1641,Point(-75.6081 39.7133)
Stamford,CT,1641,Point(-73.552222222 41.096666666)
Amesbury,MA,1642,Point(-70.930555555 42.858333333)
Edgartown,MA,1642,Point(-70.513888888 41.388888888)
Methuen,MA,1642,Point(-71.191388888 42.726111111)
Oak Bluffs,MA,1642,Point(-70.5625 41.454166666)
Simsbury,CT,1642,Point(-72.825277777 41.870555555)
Warwick,RI,1642,Point(-71.416666666 41.716666666)
West Boylston,MA,1642,Point(-71.786111111 42.366666666)
West Boylston,MA,1642,Point(-71.78563 42.36676)
Weston,MA,1642,Point(-71.303055555 42.366666666)
Hempstead,NY,1643,Point(-73.618611111 40.706111111)
Hempstead,NY,1643,Point(-73.6172 40.7047)
Lancaster,MA,1643,Point(-71.673611111 42.455555555)
Lancaster,MA,1643,Point(-71.67312 42.45565)
Upland,PA,1643,Point(-75.38269 39.85261)
Upland,PA,1643,Point(-75.3794 39.8567)
Wells,ME,1643,Point(-70.611666666 43.320277777)
Branford,CT,1644,Point(-72.799722222 41.277777777)
Eastham,MA,1644,Point(-69.974444444 41.83)
Longmeadow,MA,1644,Point(-72.583333333 42.05)
Longmeadow,MA,1644,Point(-72.58287 42.0501)
North Andover,MA,1644,Point(-71.135555555 42.698611111)
Boxford,MA,1645,Point(-70.997222222 42.661111111)
Lyme,CT,1645,Point(-72.35 41.4)
Stoneham,MA,1645,Point(-71.1 42.48)
Andover,MA,1646,Point(-71.137 42.65843)
New London,CT,1646,Point(-72.10104 41.354069)
Yonkers,NY,1646,Point(-73.864444444 40.941388888)
Cohasset,MA,1647,Point(-70.804166666 42.241666666)
Annapolis,MD,1649,Point(-76.491944444 38.978611111)
East Bridgewater,MA,1649,Point(-70.959722222 42.033333333)
Hanover,MA,1649,Point(-70.816666666 42.116666666)
Hanover,MA,1649,Point(-70.81199 42.11316)
Medfield,MA,1649,Point(-71.306944444 42.1875)
Medfield,MA,1649,Point(-71.30645 42.1876)
Stonington,CT,1649,Point(-71.9059 41.33593)
Stonington,CT,1649,Point(-71.906666666 41.365)
Bridgewater,MA,1650,Point(-70.975555555 41.990277777)
Dartmouth,MA,1650,Point(-70.969722222 41.614444444)
Framingham,MA,1650,Point(-71.416666666 42.279166666)
Lincoln,MA,1650,Point(-71.304444444 42.425833333)
Pembroke,MA,1650,Point(-70.809722222 42.071388888)
Sharon,MA,1650,Point(-71.178611111 42.123611111)
Carlisle,MA,1651,Point(-71.35 42.529166666)
Middletown,CT,1651,Point(-72.651111111 41.562222222)
