"sender_id","receiver_id","sending_date"
4,400,1774-08-31
1,401,1774-09-03
5,63,1774-09-05
6,402,1774-09-07
4,400,1774-09-08
8,402,1774-09-08
12,400,1774-09-10
9,255,1774-09-12
13,406,1774-09-14
9,255,1774-09-17
4,400,1774-09-23
19,414,1774-09-24
13,407,1774-09-24
13,407,1774-09-25
7,417,1774-09-26
7,403,1774-09-29
7,403,1774-10-07
7,405,1774-10-07
23,420,1774-10-07
11,153,1774-10-07
21,421,1774-10-09
24,422,1774-10-10
11,153,1774-10-10
26,425,1774-10-12
4,426,1774-10-16
27,428,1774-10-17
28,238,1774-10-17
29,428,1774-10-21
30,428,1774-10-22
31,71,1774-10-22
32,429,1774-10-24
31,267,1774-10-27
31,409,1774-10-28
28,278,1774-10-29
4,13,1774-11-13
36,25,1774-11-22
7,41,1774-12-12
38,433,1774-12-14
11,31,1774-12-14
11,17,1774-12-14
38,25,1774-12-16
7,434,1774-12-28
25,37,1774-12-29
25,435,1774-12-29
1,398,1774-12-30
39,438,1775-01-11
7,440,1775-01-21
38,441,1775-01-23
37,25,1775-02-05
37,31,1775-02-06
7,440,1775-02-10
14,31,1775-02-13
1,398,1775-02-14
17,267,1775-02-24
42,444,1775-02-25
1,401,1775-02-28
13,267,1775-03-04
13,17,1775-03-21
1,401,1775-03-26
1,398,1775-04-01
43,15,1775-04-06
31,267,1775-04-29
38,433,1775-05-03
48,448,1775-05-11
44,455,1775-05-18
17,76,1775-05-21
35,430,1775-05-23
36,249,1775-05-23
17,143,1775-05-28
53,428,1775-06-03
35,249,1775-06-05
4,400,1775-06-06
25,468,1775-06-07
56,470,1775-06-08
11,471,1775-06-08
7,472,1775-06-10
24,422,1775-06-11
38,441,1775-06-13
45,416,1775-06-15
44,455,1775-06-17
21,482,1775-06-18
26,138,1775-06-20
9,255,1775-06-20
40,21,1775-06-25
63,138,1775-07-03
10,455,1775-07-06
11,458,1775-07-06
7,403,1775-07-07
47,452,1775-07-07
34,278,1775-07-07
35,430,1775-07-08
35,249,1775-07-08
4,400,1775-07-09
45,21,1775-07-12
31,267,1775-07-17
40,54,1775-07-18
7,403,1775-07-23
7,443,1775-07-23
44,502,1775-07-23
40,21,1775-07-24
68,505,1775-07-25
68,505,1775-07-25
25,54,1775-08-04
11,404,1775-08-15
38,433,1775-08-18
72,511,1775-08-24
2,512,1775-08-25
47,4,1775-08-27
26,138,1775-09-20
11,458,1775-09-21
17,21,1775-09-26
11,458,1775-09-30
44,503,1775-10-01
26,138,1775-10-02
7,506,1775-10-06
7,403,1775-10-07
7,443,1775-10-07
40,54,1775-10-07
7,443,1775-10-08
9,255,1775-10-09
40,54,1775-10-11
11,458,1775-10-11
11,523,1775-10-12
7,524,1775-10-13
13,443,1775-10-13
2,154,1775-10-13
58,154,1775-10-16
7,525,1775-10-19
76,528,1775-10-21
25,468,1775-10-23
7,443,1775-10-24
77,40,1775-10-24
7,403,1775-10-29
13,111,1775-10-29
11,523,1775-11-01
4,535,1775-11-02
11,458,1775-11-02
13,443,1775-11-04
7,443,1775-11-05
13,477,1775-11-07
79,4,1775-11-07
82,542,1775-11-13
17,21,1775-11-13
34,21,1775-11-13
11,543,1775-11-13
7,258,1775-11-14
7,17,1775-11-15
7,258,1775-11-15
4,449,1775-11-15
13,487,1775-11-16
11,458,1775-11-16
83,263,1775-11-17
7,403,1775-11-18
34,278,1775-11-19
7,551,1775-11-24
66,154,1775-11-24
7,474,1775-11-25
28,238,1775-11-25
17,21,1775-11-26
17,556,1775-11-29
40,501,1775-11-30
76,558,1775-12-02
74,521,1775-12-02
13,443,1775-12-05
24,422,1775-12-05
17,21,1775-12-06
40,21,1775-12-08
20,252,1775-12-08
88,561,1775-12-08
28,278,1775-12-08
89,154,1775-12-09
76,440,1775-12-11
13,443,1775-12-17
11,523,1775-12-24
13,443,1775-12-26
11,458,1775-12-31
42,417,1776-01-01
17,576,1776-01-01
13,111,1776-01-02
17,532,1776-01-02
79,536,1776-01-05
35,249,1776-01-06
36,430,1776-01-06
13,443,1776-01-07
11,521,1776-01-07
99,580,1776-01-09
13,7,1776-01-15
40,21,1776-01-16
34,21,1776-01-16
40,14,1776-01-17
102,34,1776-01-17
40,21,1776-01-20
76,532,1776-01-30
11,458,1776-02-01
104,587,1776-02-03
107,591,1776-02-09
11,593,1776-02-10
35,249,1776-02-11
7,403,1776-02-13
40,14,1776-02-13
106,532,1776-02-13
108,595,1776-02-14
89,596,1776-02-15
102,25,1776-02-16
89,524,1776-02-17
7,403,1776-02-18
7,443,1776-02-18
40,524,1776-02-19
11,458,1776-03-04
73,63,1776-03-05
42,417,1776-03-06
40,54,1776-03-07
11,579,1776-03-08
104,584,1776-03-08
36,249,1776-03-13
20,252,1776-03-13
104,587,1776-03-16
7,403,1776-03-17
76,528,1776-03-19
25,102,1776-03-20
35,249,1776-03-20
7,443,1776-03-21
7,433,1776-03-23
20,252,1776-03-23
111,443,1776-03-26
35,249,1776-03-26
20,252,1776-03-27
104,587,1776-03-27
7,417,1776-04-02
13,615,1776-04-03
104,584,1776-04-10
20,252,1776-04-11
112,7,1776-04-11
40,492,1776-04-12
7,403,1776-04-14
115,528,1776-04-14
7,403,1776-04-15
7,520,1776-04-15
13,474,1776-04-15
47,506,1776-04-15
7,443,1776-04-16
7,516,1776-04-16
13,443,1776-04-16
104,621,1776-04-16
104,587,1776-04-17
17,436,1776-04-20
7,443,1776-04-22
17,524,1776-04-22
89,524,1776-04-23
116,208,1776-04-24
7,433,1776-04-27
7,403,1776-04-28
7,108,1776-04-28
13,615,1776-04-30
13,627,1776-04-30
111,443,1776-05-01
9,255,1776-05-01
110,598,1776-05-06
89,629,1776-05-08
73,63,1776-05-09
25,20,1776-05-11
17,524,1776-05-11
7,460,1776-05-12
99,617,1776-05-12
17,45,1776-05-12
9,632,1776-05-14
16,410,1776-05-14
7,443,1776-05-15
7,417,1776-05-16
2,106,1776-05-16
104,587,1776-05-16
7,403,1776-05-17
115,528,1776-05-17
99,617,1776-05-17
