"ID","Year","Title"
"dg0011",1774,"John Adams' Diary"
"dg0012",1774,"Robert Treat Paine's Diary"
"dg0013",1774,"Samuel Ward's Diary"
"dg0014",1774,"Silas Deane to Elizabeth Deane"
"dg0015",1774,"Joseph Galloway to William Franklin"
"dg0016",1774,"James Duane's Notes of Debates"
"dg0017",1774,"Joseph Galloway to William Franklin"
"dg0018",1774,"John Adams' Diary"
"dg0019",1774,"John Adams' Notes of Debates"
"dg00110",1774,"Silas Deane to Elizabeth Deane"
"dg00111",1774,"James Duane's Notes of Debates"
"dg00112",1774,"Robert Treat Paine's Diary"
"dg00113",1774,"Samuel Ward's Diary"
"dg00114",1774,"George Washington's Diary"
"dg00115",1774,"John Adams' Diary"
"dg00116",1774,"Silas Deane to Elizabeth Deane"
"dg00117",1774,"James Duane's Notes of Debates"
"dg00118",1774,"James Duane's Propositions Before the Committee on Rights"
"dg00119",1774,"John Rutledge's? Proposed Resolutions to the Committee on Rights"
"dg00120",1774,"Robert Treat Paine's Diary"
"dg00121",1774,"Samuel Ward's Diary"
"dg00122",1774,"John Adams' Diary"
"dg00123",1774,"John Adams' Notes of Debates"
"dg00124",1774,"John Adams to Abigail Adams"
"dg00125",1774,"Silas Deane to Elizabeth Deane"
"dg00126",1774,"James Duane's Speech to the Committee on Rights"
"dg00127",1774,"Robert Treat Paine's Diary"
"dg00128",1774,"Samuel Ward's Diary"
"dg00129",1774,"Silas Deane to Elizabeth Deane"
"dg00130",1774,"Robert Treat Paine's Diary"
"dg00131",1774,"Caesar Rodney to Thomas Rodney"
"dg00132",1774,"Roger Sherman to Unknown"
"dg00133",1774,"Samuel Ward's Diary"
"dg00134",1774,"Samuel Ward to Samuel Ward, Jr."
"dg00135",1774,"John Adams' Diary"
"dg00136",1774,"Diary Silas Deane to Elizabeth Deane"
"dg00137",1774,"Samuel Ward's Diary"
"dg00138",1774,"John Adams' Diary"
"dg00139",1774,"John Adams' Diary"
"dg00140",1774,"Silas Deane to Elizabeth Deane"
"dg00141",1774,"Robert Treat Paine's Diary"
"dg00142",1774,"Caesar Rodney to Thomas Rodney"
"dg00143",1774,"Samuel Ward's Diary"
"dg00144",1774,"John Adams' Diary"
"dg00145",1774,"Samuel Ward's Diary"
"dg00146",1774,"John Adams' Diary"
"dg00147",1774,"John Adams to Abigail Adams"
"dg00148",1774,"John Adams to William Tudor"
"dg00149",1774,"Samuel Adams to the Boston Committee of Correspondence"
"dg00150",1774,"Samuel Ward's Diary"
"dg00151",1774,"Robert Treat Paine's Diary"
"dg00152",1774,"John Adams to Abigail Adams"
"dg00153",1774,"Robert Treat Paine's Diary"
"dg00154",1774,"Samuel Ward's Diary"
"dg00155",1774,"John Adams' Diary"
"dg00156",1774,"Thomas Cushing to Joseph Warren"
"dg00157",1774,"Peyton Randolph to Joseph Warren"
"dg00158",1774,"Robert Treat Paine's Diary"
"dg00159",1774,"Caesar Rodney to Thomas Rodney"
"dg00160",1774,"Charles Thomson to the Printer"
"dg00161",1774,"of the Pennsylvania Packet"
"dg00162",1774,"Samuel Ward's Diary"
