TCP,EEBO,VID,STC,Status,Author,Date,Title,Terms,Pages
N00001,,,Evans 4,Free,"Cotton, John, 1584-1652.; Mather, Richard, 1596-1669.; Eliot, John, 1604-1690, tr.; Mather, Richard, 1596-1669, tr.; Weld, Thomas, 1590?-1662, tr.",1640,"The whole Book of Psalms faithfully translated into English meter. ; Whereunto is prefixed a discourse declaring not only the lawfullness, but also the necessity of the heavenly ordinance of singing Scripture psalms in the churches of God. ; [Seven lines of Scripture texts]; Bible. O.T. Psalms. English. Bay Psalm book. 1640.",Music in churches.; Psalmody.; Psalters -- 1640.,294
N00003,,,Evans 17; Wing W3095,Free,"Winthrop, John, 1588-1649.; United Colonies of New England. Commissioners.",1645,"A declaration of former passages and proceedings betwixt the English and the Narrowgansets, with their confederates, wherein the grounds and justice [sic] of the ensuing ware are opened and cleared. : Published, by order of the Commissioners for the United Colonies. At Boston the 11 of the sixth month 1645.","Indians of North America -- Wars -- 1600-1750.; Indians of North America -- New England.; Narragansett Indians.; New England -- History -- Colonial period, ca. 1600-1775.",8
N00008,,,Evans 25; Wing P2396,Free,"Cambridge Synod; Mather, Richard, 1596-1669.; Cotton, John, 1584-1652.",1649,"A platform of church discipline gathered out of the Word of God: and agreed upon by the elders: and messengers of the churches assembled in the Synod at Cambridge in New England : To be presented at the churches and General Court for their consideration and acceptance, in the Lord. : The eight month [sic] anno 1649 : [Seven lines from Psalms]",Congregational churches -- New England.; Congregational churches -- Doctrinal and controversial works.; New England -- Church history.,43
N00010,,,Evans 28; Wing M987,Free,Massachusetts.,1648,"The book of the general lauues and libertyes concerning the inhabitants of the Massachusetts collected out of the records of the General Court for the several years wherein they were made and established, and now revised by the same Court and disposed into an alphabetical order and published by the same authority in the General Court held at Boston the fourteenth of the first month anno 1647. : [Two lines from the Epistle to the Romans]; Laws, etc.",,63
N00012,,,Evans 33; Wing B2447,Free,"Dunster, Henry, 1609-1659?; Lion, Richard.",1651,"The psalms hymns and spiritual songs of the Old and New Testament, faithfully translated into English meter, for the use, edification, and comfort, of the saints, in public, & private. Especially in New England. ; [Six lines of Scripture texts]; Bible. O.T. Psalms. English. Bay Psalm Book. 1651.",Psalters -- 1651.,382
N00013,,,Evans 35; Wing M1276,Free,"Mather, Richard, 1596-1669.",1652,"The sum of certain sermons upon Genes: 15. 6. Wherein not only the docrine [sic] of justification by faith is asserted and cleared, and sundry arguments for justification before faith, discussed and answered, but also the nature and the means of faith, with the imputation of our sins to Christ, and of Christ's righteousness to us are briefly explained and confirmed. / Preached at Dorchester in New England by Richard Mather teacher to the Church there. ; And now by him published at the earnest request of sundry well-affected and godly Christians.",Faith.; Justification.; Sermons -- 1652.,59
N00015,,,Evans 40; Wing C3738,Free,"Chauncy, Charles, 1592-1672.",1655,"Gods mercy, showed to his people in giving them a faithful ministry and schools of learning for the continual supplies thereof. Delivered in a sermon preached at Cambridg, the day after the commencement, / by Charles Chauncy, B.D, president of Harvard College in New England. ; Published with some additions thereunto at the request of diverse honored, and much respected friends, for public benefit, as they judged. ; [Four lines from I Thessalonians]",Clergy -- Sermons.; Sermons -- 1655.,60
N00020,,,Evans 45; Wing F1062,Free,"Fiske, John, 1601-1677.",1657,The watering of the olive plant in Christ's garden. Or A short catechism for the first entrance of our Chelmesford children: enlarged by a threefold appendix / by John Fisk Pastor of the church of Christ at Chelmesford in New England. ; [Six lines of Scripture texts],Congregational churches -- Massachusetts -- Chelmsford -- Catechisms and creeds.; Catechisms.; Juvenile literature -- 1657.,88
N00021,,,Evans 47; Wing M1272,Free,"Mather, Richard, 1596-1669.; Chauncy, Charles, 1592-1672.; First Church (Dorchester, Boston, Mass.).",1657,"A farewell exhortation to the church and people of Dorchester in New England. But not unusefull to any others, that shall heedfully read and improve the same, : as containing Christian and serious incitements, and preswasions to the study and practice of seven principal duties of great importance for the glory of God, and the salvation of the soul, and therefore needful to be seriously considered of all in these declining times. / By Richard Mather teacher to the church above mentioned. ; [Five lines of Scripture texts]",Farewell sermons -- 1657.,30
N00022,,,Evans 48; Wing W2896,Free,"Wilson, John, 1588-1667.",1658,"A copy of verses made by that Reverend man of God Mr. John Wilson, Pastor to the First Church in Boston; on the sudden death of Mr. Joseph Brisco, who was translated from earth to heaven Jan. 1. 1657 [i.e., 1658, N.S.].","Brisco, Joseph, d. 1658 -- Poetry.; Elegies.; Broadsides.",2
N00026,,,Evans 55; Wing M1018,Free,Harvard College (1636-1780).,1659,"An humble proposal, for the enlargement of university learning in New England, by the trustees hereafter named, to whom the management of this affair is committed.",Universities and colleges -- Massachusetts -- Cambridge -- Finance.; Educational fund raising.; Broadsides.,2
N00027,,,Evans 56; Wing N1318,Free,"Norton, John, 1606-1663.",1659,"The heart of N-England rent at the blasphemies of the present generation. Or a brief tractate concerning the doctrine of the Quakers, demonstrating the destructive nature thereof, to religion, the churches, and the state, with consideration of the remedy against it. Occasional satisfaction to objections, and confirmation of the contrary truth. / By John Norton, teacher of the Church of Christ at Boston. Who was appointed thereunto by the order of the General Court. ; [Four lines from Revelation]",Society of Friends -- Doctrinal and controversial works.,60
N00032,,,Evans 63; Wing N1316,Free,"Norton, John, 1606-1663.",1660,"A brief catechism containing the doctrine of Godliness [sic], or of living unto God. / By John Norton, teacher of the church at Boston in New England.",Catechisms.; Juvenile literature -- 1660.,23
N00034,,,Evans 67; Wing N1458,Free,"Noyes, James, 1608-1656.",1661,A short catechism composed by Mr. James Noyes late teacher of the Church of Christ in Newbury for the use of the children there.,Congregational churches -- Catechisms; Catechisms.,16
N00035,,,Evans 68; Wing M2292,Free,"Boston Synod; Mitchel, Jonathan, 1624-1668.; Massachusetts. General Court.",1662,"Propositions concerning the subject of baptism and consociation of churches, collected and confirmed out of the Word of God, by a synod of elders and messengers of the churches in Massachusetts-Colony in New England. Assembled at Boston, according to appointment of the Honored General Court, in the year 1662. : At a General Court held at Boston in New England the 8th of October, 1662. The Court having read over this result of the Synod, judge meet to commend the same unto the consideration of all the churches and people of this jurisdiction; and for that end do order the printing thereof. By the Court. Edward Rawson. Secret'.",Baptism.; Covenants (Church polity).; Congregational churches -- Doctrinal and controversial works.,48
N00040,,,Evans 77; Wing C6506,Free,"Cotton, Seaborn, 1633-1686.",1663,"A brief sum of the chief [sic] articles of our Christian faith, composed in way of question and answer, now published, especially for the benefit of the town of Hampton.",Congregational churches -- Creeds; Hampton (N.H.) -- Church history.; Catechisms.,38
N00041,,,Evans 78; Wing D356,Free,"Davenport, John, 1597-1670.; Mather, Increase, 1639-1723.; Street, Nicholas, 1603-1674.",1663,"Another essay for investigation of the truth, in answer to two questions, concerning I. The subject of baptism. II. The consociation of churches. / By John Davenport B. of D. and Pastor of the Church of Christ, at New Haven, in New England. ; [Twenty-four lines of quotations]",Boston Synod (1662). -- Propositions concerning the subject of baptism and consociation of churches.; Baptism.; Covenants (Church polity).; Congregational churches -- New England.; Booksellers' advertisements -- Massachusetts -- Cambridge.,87
N00042,,,Evans 79; Wing D358,Free,"Cotton, John, 1584-1652.; Davenport, John, 1597-1670.",1663,"A discourse about civil government in a new plantation whose design is religion. Written many years since, by that Reverend and worthy Minister of the Gospel, John Cotton, B.D. ; And now published by some undertakers of a new plantation, for general direction and information.",Political science.; Church and state.,24
N00043,,,Evans 80; Wing H1955,Free,"Higginson, John, 1616-1708.; Wilson, John, 1588-1667.; Whiting, Samuel, 1597-1679.; Massachusetts. General Court.",1663,"The cause of God and his people in New England, as it was stated and discussed in a sermon preached before the Honorable General Court of the Massachusetts colony, on the 27 day of May 1663. Being the day of election at Boston. / By John Higginson Pastor of the Church of Christ at Salem. ; [Seven lines of Scripture texts]",Election sermons -- Massachusetts -- 1663.,28
N00044,,,Evans 81; Wing M1017,Free,"Massachusetts.; Rawson, Edward, 1615-1693.",1663,"Several laws and orders made at several General Courts in the years 1661. 1662. 1663. Printed and published by order of the General Court held at Boston the 20th of October, 1663. By Edward Rawson secr'.; Laws, etc. (Session laws : 1661)",,8
N00045,,,Evans 82; Wing S3108,Free,"Shepard, Thomas, 1605-1649.; Wilson, John, 1588-1667.",1663,"The church membership of children, and their right to baptism, according to that holy and everlasting covenant of God, established between himself, and the faithful and their seed after them, in their generations: cleared up in a letter, sent unto a worthy friend of the author, and many years ago written touching that subject; / by Thomas Shepard, sometimes Pastor of the Church of Christ at Cambridg in New England. ; Published at the earnest request of many: for the consolidation and encouragemenr [sic], both of parents and children in the Lord. ; [Twelve lines of Scripture texts]",Baptism.; Children -- Religious life.; Church membership.; Poems -- 1663.,49
N00046,,,Evans 83; Wing A1035,Free,"Allin, John, 1596-1671.",1664,"Animadversions upon the Antisynodalia americana, a treatise printed in Old England, in the name of the dissenting brethren in the Synod held at Boston in New England 1662. : Tending to clear the elders and churches of New England from those evils and declinings charged upon many of them in the two prefaces before the said book. : Together with an answer unto the reasons alleged for the opinion of the dissenters. : And a reply to such answers as are given to the arguments of the Synod. / By John Allin, Pastor of the Church of Christ at Dedham in N. England. ; [Eight lines of Scripture texts]","Chauncy, Charles, 1592-1672. -- Anti-Synodalia americana ...; Massachusetts. -- General Court.; Boston Synod (1662). -- Propositions concerning the subject of baptism and consociation of churches.; Congregational churches -- New England.; Covenants (Church polity).; Baptism.",87
N00049,,,Evans 88; Wing M1018,Free,"Massachusetts.; Rawson, Edward, 1615-1693.",1664,"Several laws and orders made at several General Courts in the years 1661. 1662. 1664. Printed and published by order of the General Court held at Boston the 19th of October, 1664. By Edward Rawson secr.; Laws, etc. (Session laws : 1661)",,5
N00050,,,Evans 89; Wing M1271,Free,"Mather, Richard, 1596-1669.; Mitchel, Jonathan, 1624-1668.",1664,"A defense of the answer and arguments of the Synod met at Boston in the year 1662. Concerning the subject of baptism, and consociation of churches. Against the reply made thereto, by the Reverend Mr. John Davenport, Pastor of the church at New Haven, in his treatise entitled, Another essay for investigation of the truth, &c. : Together with an answer to the apologetical preface set before that essay. / By some of the elders who were members of the synod abovementioned. ; [Four lines of Scripture texts]","Davenport, John, 1597-1670. -- Another essay for investigation of the truth.; Boston Synod (1662). -- Propositions concerning the subject of baptism and consociation of churches.; Covenants (Church polity).; Baptism.",150
