revolutionary_politics;republican_politics;slavery_and_race;Government Proceedings and Agreements;Human Interaction and Decision-Making;Educational Institutions and Knowledge Advancement;Literary Works and Print Publications;Financial Transactions and Government Budgeting.;Diplomatic Correspondence and Government Relations;Military Operations and Strategic Defense.;Business Endeavors and Personal Relationships;Land Ownership and Property Rights.;Political Governance and Legislative Proceedings;Financial Transactions and Monetary Matters;Professional Appointments and Recommendations.;Military Service and Officer Hierarchy;Military Logistics and Operational Supplies;Social Etiquette and Personal Relations;Government Relations and Negotiation Strategies.;Agricultural Practices and Crop Management;International Relations and Diplomacy;Transportation and Infrastructure Development;Maritime Operations and Naval Affairs;Family Relationships and Domestic Life;Mail and Package Handling;Financial Transactions and Economic Indicators.;Emotions and Philosophical Reflections on Life;French words;Health, Travel, and Seasonal Experiences.;Courtesy;Legal Proceedings and Judicial System
power;nation;trade;commissioner;idea;country;book;account;enclosure;enemy;business;land;state;money;office;officer;order;honor;view;seed;minister;water;ship;child;wine;price;life;le;health;friend;court
law;citizen;vessel;prisoner;conduct;institution;volume;certificate;government;force;respect;river;member;loan;appointment;service;supply;situation;communication;wheat;court;foot;board;son;order;money;friend;est;return;pleasure;trial
duty;inhabitant;port;order;sentiment;plan;history;dollar;note;troop;yr;claim;vote;payment;recommendation;regiment;provision;application;consideration;farm;war;experiment;vessel;father;care;debt;heart;à;road;respect;charge
right;government;treaty;state;mind;society;publication;expences;consul;army;doubt;property;election;debt;friend;company;horse;service;respect;house;treaty;machine;order;family;box;bank;mind;cette;journey;honor;evidence
liberty;country;slave;term;view;school;pamphlet;sum;dna;expedition;hope;acre;session;sum;service;army;numb;request;arrangement;grind;affair;navigation;port;sister;packet;sale;happiness;son;hope;honour;proceeding
authority;virtue;commerce;instruction;friend;science;author;money;dispatch;intelligence;friend;settlement;convention;account;application;order;return;necessity;government;plant;country;end;frigate;friend;conveyance;dollar;age;votre;fever;attention;order
constitution;war;merchant;proposition;doubt;improvement;print;office;claim;state;pleasure;lot;house;bond;business;rank;store;attention;party;season;friend;house;prize;home;receipt;state;nature;fait;family;friendship;officer
tax;peace;ship;proposal;conversation;view;language;compensation;agent;militia;power;possession;party;order;confidence;command;party;business;grind;price;assembly;distance;fleet;mother;mail;fund;feeling;ces;house;sentiment;conduct
freedom;republic;country;honour;influence;professor;note;expense;document;quarter;loss;territory;resolution;credit;commission;pay;officer;respect;relation;grain;peace;inch;sail;house;respect;sum;father;sur;season;opportunity;complaint
consent;state;property;respect;motive;establishment;edition;statement;treaty;operation;state;estate;majority;draft;knowledge;arrangement;quantity;exertion;disposition;quantity;order;stone;privateer;daughter;charge;credit;family;sont;arrival;liberty;justice
independence;patriotism;regulation;dispatch;observation;state;translation;service;instruction;movement;wch;title;meet;demand;talent;recruit;arm;consideration;result;tree;king;piece;passage;love;note;purchase;affection;tout;friend;compliment;punishment
state;faction;state;resolution;affair;advantage;writer;appropriation;request;defence;trouble;deed;friend;receipt;family;soldier;direction;hope;term;field;province;boat;gun;company;direction;note;pleasure;qu’il;home;satisfaction;witness
colony;republican;nation;exchange;situation;knowledge;collection;allowance;president;numb;expence;tract;assembly;fund;duty;return;troop;liberty;claim;crop;city;build;sea;visit;account;cent;son;faire;visit;esteem;sentence
government;administration;war;opportunity;business;language;press;claim;convention;plan;end;survey;committee;creditor;candidate;commission;quarter;intention;explanation;corn;congress;company;officer;brother;opportunity;stock;child;bien;departure;son;petition
lawyer;sentiment;negro;business;confidence;education;respect;provision;order;account;return;boundary;opposition;cash;nomination;promotion;guard;desire;delay;horse;honor;air;prisoner;woman;request;tax;scene;mes;winter;desire;offence
sovereignty;enemy;advantage;draft;nature;student;memory;charge;reply;command;home;petitioner;legislature;livre;ability;state;inhabitant;approbation;motive;land;ministry;lock;arrival;wife;trouble;market;hope;comme;pleasure;goodness;proof
king;patriot;provision;agreement;respect;branch;observation;revenue;enclose;loss;numb;grant;amendment;remittance;administration;appointment;prisoner;assistance;decision;bushel;news;mile;boat;boy;cover;capital;eye;leur;account;country;prosecution
legislature;empire;colony;desire;truth;class;friend;department;passport;fleet;opportunity;county;motion;business;vacancy;numb;regiment;support;objection;spring;resolution;observation;wind;lady;quality;demand;love;dans;weather;kindness;testimony
parliament;spirit;trader;negotiation;suspicion;art;pleasure;expenditure;affair;situation;public;house;debate;obligation;merit;troop;mile;propriety;idea;farmer;house;motion;captain;pleasure;return;term;spirit;ici;mail;request;party
sense;party;government;memorialists;public;attention;newspaper;payment;arrival;attack;situation;mile;representative;balance;son;corp;state;difficulty;attention;country;state;respondent;shore;husband;arrival;tobacco;heaven;monsieur;summer;obligation;property
judge;influence;intercourse;difficulty;opportunity;fund;material;salary;duplicate;success;head;sale;delegate;cent;respect;respect;road;state;policy;winter;hope;canal;dispatch;account;package;share;virtue;vos;business;acquaintance;decision
court;policy;owner;condition;advantage;study;life;business;minister;body;difficulty;term;address;pound;station;lieutenant;respect;distress;mode;wood;negotiation;plan;master;life;board;proportion;truth;avec;prospect;happiness;crime
sovereign;conduct;sea;return;intention;age;error;contract;postscript;river;expectation;town;county;charge;integrity;captain;account;permission;difficulty;weather;commission;glass;owner;care;content;revenue;death;ses;disease;civility;prisoner
provision;danger;order;power;disposition;progress;el;warrant;honor;frontier;quarter;purchase;plan;rate;qualification;general;enemy;expectation;negotiation;quality;agent;body;account;heart;dispatch;profit;country;san;horse;gratitude;suit
form;confidence;cargo;proceeding;plan;visitor;bone;receipt;peace;reinforcement;money;road;federalist;advance;acquaintance;list;company;confidence;instruction;fall;ambassador;improvement;news;winter;price;rate;glory;mon;death;merit;honor
