,TCP,Year,Title,Content
9326,dg016154,1781,James Madison to Joseph Jones,"""James Madison to Joseph Jones
  Dear Sir Philada. [October 10, 1781] (1) I received yesterday yours of the 2d inst.(2) Some of the questions mentioned in it I anticipated in my last. The clause of the resolutions you left on the table relating to Indian purchases is still undetermined.(3) Many attempts have been made to bring the Vermont dispute to an issue, but the diversity of opinions that prevail on one side & the dilatory artifices employed on the other have frustrated them. All the evidence has been heard and a proposition for including it within the jursidiction of some one of the States debated for some time, but the decision was suspended. An arrangement of the Army founded on G. Washington's letter, has passed Congress and is now with the Genl. for his observations on it. It includes a recommendation to the States to fill up their quotas. No arrangement of the Civil departments has taken place. A new medical system has been passed. Shippen is again at the head of it. Craig & Cockran have not been forgotten. The instructions relating to the Mississippi have passed entirely to my satisfaction. A committee is now preparing a state of the reasons & principles on which they stand. Dr Lee has not yet arrived.(4)  No military or naval intelligence has come to hand since my last except a further report that a very large embarkation is actually going on at N. York. It will be prudent for Virginia not to neglect the precautions necessary for her defence in case she should be the object of it.  Andre was hung the 2d inst. He submitted to his fate in a manner that shewed him to be worthy of a better one. His coadjutor Smith will soon follow him. The Hero of the plot, it is said is to be made a Brigadier and employed in some predatory expedition suited to his genius & his thirst for pelf. It is said with more probability that  OCTOBER 10, 1780  his baseness is heartily despised by those who have taken advantage of it, and that some resentment is mixed with their contempt on account of the loss of their darling officer.  Our domestic controversy is still sub judice. This day I believe will certainly decide it in its present stage. If it should be unfortunate it will be carried into the Court of Errors. Some propositions founded on an amicable separation have been made on the part of Bulkley but they were so pregnant with ruin to the old lady that her friends could not advise her to accede to them.(5)  Your compliments were presented to the family as you desired, and are returned with very great sincerity. I hope your lady and son have by this time recovered, and that no other impediment will keep you from the Assembly when it meets, or from returning hither as soon as it rises.  I am Dr. Sir yr Affecte friend & Servt,  James Madison Junr.  ""
"
9601,dg016429,1781,Samuel Huntington to John Adams,"""Samuel Huntington to John Adams
  Sir, Philadelphia January 1. 1781 You will receive herewith enclosed, a Commission as Minister Plenipotentiary to the United Provinces of the low Countries, with Instructions for your Government on that important Mission; (1) as also a Plan of a Treaty with those States, (2) and likewise a resolve of Congress relative to the Declaration of the Empress of Russia respecting the Protection of neutral Ships &C.(3)  Proper Letters of Credence on the Subject of your Mission will be forwarded by the next Conveyance, but it is thought inexpedient to delay the present Despatches on that Account.(4)  I have the Honor to be, with the highest respect & Esteem, sir, your most obedient & most humble Servant,  Sam. Huntington President ""
"
9602,dg016430,1781,Samuel Huntington to Benjamin Franklin,"""Samuel Huntington to Benjamin Franklin
  Sir, Philadelphia January 1. 1781.  You will receive herewith enclosed a Letter addressed to his most Christian Majesty,(1) as also a Copy of the same for your Information, together with Instructions of the 28th of November & 27th of December for your Government on the important Subject contained in the Letter to the King of France;(2) likewise a Copy of the Instructions given to Coll. Laurens on the same Subject,(3) and a Copy of the Resolution of Congress respecting the Declaration of the Empress of Russia.(4)  By these Despatches you will be informed that Colonel Laurens is coming to France charged with a special Commission, with your Advice & Influence to solicit the Aids in Money and other Articles referred to in his Instructions. It is probable he will sail from America in some fifteen or twenty Days from this Time.  You will observe nevertheless, that it is the Pleasure & Expectation of Congress you should not delay any Measures for obtaining the Aids requested, or wait for the Arrival of Mr Laurens.  An Estimate of the Aids requested, except the 25,000,000 of Livres, you have already received the last Year; and no Time ought to be lost in forwarding such Aids as may be obtained.  Your Wisdom, Prudence, & Zeal for the Prosperity of the United States render it unnecessary for me to add any Perswasives on this important Subject.  I have the Honor to be, with the highest respect & Esteem, sir, your most obedient & most humble servant,  Saml. Huntington President ""
"
9603,dg016431,1781,Samuel Huntington to John Laurens,"""Samuel Huntington to John Laurens
  Sir, Philadelphia January 1. 1781. You will receive herewith enclosed, a special Commission as Minister to the Court of Versailes, (1) as also two Letters under Seal addressed to his most Christian Majesty, with Copies of both Letters for your Information.(2)  Likewise Instructions for your Government on the Subject of your Mission, of the 23d & 27th of December last with Copies of Instructions to Doctor Franklin of the 28th of November & 27th of  JANUARY 1, 1781  December ulto on the same Subject for your Information;(3) and an Estimate of the Aids requested from his most Christian Majesty.(4) My warmest Wishes for your Prosperity, Safety and Success attend you. I am, Dear Sir, with much Esteem & regard, your most obedient & most humble Servant Sam Huntington President  ""
"
9604,dg016432,1781,Samuel Huntington to William V,"""Samuel Huntington to William V
  High and serene Prince [January 1, 1781]  The United States of America in Congress assembled impressed with a deep sense of your wisdom and magnanimity and being desirous of cultivating the friendship of your Highness and of the seven United Provinces of the Netherlands who have ever distinguished themselves by an Inviolable Attachment to freedom and the rights of Nations, have appointed the honble. John Adams late a delegate in Congress from the State of Massachusetts, and a member of the Council of that State to be their Minister plenipotentiary at your Court that he may give you more particular Assurances of the great respect they entertain for your Highness & for the people over whom you preside as Stadtholder.(1) We beseech your Highness to give entire credit to everything which our said Minister shall deliver on our part especially when he shall assure you of the sincerity of our friendship and regard.  We pray God to keep your Highness in his holy protection.  Done at Philadelphia this first day of January in the year of our Lord one thousand seven hundred and Eighty one and in the fifth Year of our Independence, By the United States of America.  Your friends, Sam Huntington President (2) Attest Cha Thomson secy.  ""
"
9605,dg016433,1781,Virginia Delegates to Thomas Jefferson,"""Virginia Delegates to Thomas Jefferson
  Sir, Philadelphia Jany. 1st. 1781 We have been Hond. with Your Excellencys favor (1) in answer to ours concerning the safest and best Harbor &c. &c. which has been duely communicated, through the proper Channel, and we beg leave to inform you that we have endeavord to improve the intended design into a mode for obtaining a more Speedy and safe Conveyance of the Cargoe of the Comite to Virginia (should it take place,) than a land Carriage would be and hope it will meet with yr. approbation, as it appeard to us the most eligible method, we have venturd to adopt it without particular Instructions for so doing. Monsr. L_____ has promised to use his endeavors to have our request complied with. (2) We have the Honor of transmiting to Yr. Excellency a Proposal from a Baron D'Arendt.(3) He Speaks of a Commission with which he is charged but we have not as yet seen his Commission or powers, we have seen Mr. Wm. Lees written request to him to endeavor to negotiate the Sending of Arms, Linen, &c. with Mr. Wm. Lee's promise to him in writing that if he Succeeded he shd. be handsomely rewarded by the State of Virginia, but if not he shd. be Entitled to receive from that State twenty five Louis D'ors for his trouble; all these things we offer to Yr. Excellency at his request (being ourselves Ignorant of the whole transaction except as stated above) and wait your Orders thereon.  In a letter from his Excy. Genl. Washington dated New Windsor Decr. 27th 1780 we have the following Intelligence-\""Another embarkation has taken place at New York supposed to consist of two thousand five Hundred land forces, whose destination is not yet known the fleet fell down to the Hook on Wednesday last.\""(4) Our Conjecture is that they are destined to the Southward, and indeed all the Enemy's political & military manoeuvres seem to indicate their Intention of making a Vigorous effort against the Southern States, this Winter. We are Sorry to inform yr. Excellency that we receive very little Authentic Intelligence of the Steps which are takeing to counteract those vigorous operations, that we are in a great measure uninformd of the progress that has been made in raising the new army, and on what terms, of what has been, and will be, done in establishing Magazines for its Support, and above all, of the measures persuing to cancell the old money and give an effectual Support to the new, by providing for its punctual and final redemption with Specie. This is a crisis at which we conceive a most assiduous  JANUARY 1, 1781  application to these great objects to be necessary, and (next to the completion of the Confoederacy which is perhaps the Basis of the whole) of the first importance to America therefore highly importing us to know, as the measures of so large a state as ours cannot but have considerable effects on the other states in the Union.  We have the honor to be with the greatest respect Yr obt & humble servants, James Madison Junr.  Theok. Bland ""
"
9606,dg016434,1781,Artemas Ward to Joseph Ward,"""Artemas Ward to Joseph Ward
  Sir (1) Philadelphia January 1st 1781.  This day I received your Letter of the seventeenth Ult with Mr. Hortons enclosed; I shall in the morning take care to send it either to Mr. Bradford or to Mr. Horton, if I can find where he lives.  You say you have not seen any of the great Folks, but understand they figure, & feel their helm. If all I hear is true it appears to me some of their figuring is neither for their profit or honor. I sincerely wish the morals of the people may not be corrupted by their figurings. It is unaccountable to me that some Gent. and Ladies have attended upon some of the figurings. A few years ago they would have thought it extreamly wrong to have countenanced any such measure, but alas now they seam to think there is no harm in it. Have they experienced such a change, by the change of the Constitution as to make Evil, to become good, & right to become wrong. I fear if we don't practice more on the principles of our Pious ancestors we shall be a miserable people; for no people can be happy, in this world or that which is to come without they are Virtuous & practice morality. It would be a great Blessing if people in general would endeavour to discontenance vice and folly more than they do, and incourage the oposite Virtue.  I now acknowledge the receipt of a letter from you a long time ago, which I ought to have acknowledged long since; it is now mislaid & I am not able to mention the date.  I have nothing of news to write you, & being in a great hurry must conclude by subscribing, Your real friend and very humble Servant, Artemas Ward  ""
"
9607,dg016435,1781,James Duane s Memoranda,"""James Duane's Memoranda
  [January 2-3, 1781] Memoranda for Col. Laurens (1) I. Question. What is the Amount of the National debts. Answer 1. There is due on Loan Office Certificates to the 20th of Novemr 1780.  Dollars nominal money Value in Specie 60,263,458. 11,396,203.  Of this Sum 7,342,275 dollars draw Interest on bills of Exchange on France.  JANUARY 2, 1781  2. There is due the greatest part of the 200,000,000 of Dollars issued on paper bills of Credit: the whole ought to be redeemed by a monthly 15,000,000 Tax, required by Congress the 18th of March & to be paid in at 40 for one by the 1st of April next . . . 10,000,000 to be issued on new bills at par with Silver (in Place of the 200,000,000) payable with Interest at 6 per Cent-each State to fund its Quota on Solid Security and to Sink it's Share of principle & Interest by Annual Taxes: so that the whole shoud be cancelled at the End of Six years. 4/10ths of the New Emissions to be paid into the Continental Treasury and 6/10ths for the use of the Governments of the respective States. At present then consider the money of the Emissions of 200,000,000 of Dollars as creating a debt of 10,000,000 of Specie Dollars.  3. There is a Sterling Debt contracted on bills of Exchange drawn on Holland, Spain and France to the amount up to October 1780 of 295,048.12.6 Sterling.  4. If the Taxes demanded shoud be anticipated by Quarter Masters & Commissaries Certificates for Supplies to the Army in the year 1780, which is pretended, tho I State it Hypothetically: Then there will be due from the publick on these Certificates in Specie Value a further debt of 2,358,604 Specie dollars. The Grounds of this last Computation are conjectural and do not deserve entire Credit, but there [are] no materials to arrive at greater Certainty.  5. The Supplies of Cloathing, Artillery, Arms & Ammunition by France & Spain And the Commercial transactions form another capital Article of national Debt which I have not Materials at hand to ascertain.  6. The Pay & Subsistence Due to the Army is very Considerable & nearly a Million of Specie Dollars: Besides debts due on the Staff & Civil List to a large Amount.  II. Question. At what Sum do you estimate the Expences of the War from January 1781 to January 1782? Answer Estimate of provisions required from > Value Specie dollars the States by a Tax in kind....................> 4,357,012 A Tax on the several States in Specie > to be laid out for Forage estimated at ..> 1,642,988 The Expence of the Quarter Masters depart- > ment estimated on general principles at ........> 5,000,000 Pay and Subsistance of the new Army for ....> one year estimated accurately at ..................> 5,114,897.30/90 Specie dollars 16,114,897.30/90 N.B. Cloathing, Arms, Ammunition & other Supplies, you have the Estimate, and they are to be procured from France and Spain. NB. Material for Col Laurens to be informed that our Minister at Madrid gives us assurances that Spain has promised a Supply of Cloathing &c.  The raising the new Army for the War must prove a vast additional Expence to the people. I want data to fix it with any tolerable precision .-. At a modern estimate every Recruit will receive a bounty of 100 Specie dollars: on 20,000 it will amount to Two Millions specie Dollars. For extras you may make such an Addition as will bring the whole, exclusive of the Supplies of Cloathing, Arms & Ammunition expected from Europe. Twenty millions of Specie Dollars.  III. [Question.] What are the Ways and Means for defraying the Expences of the War for the year 1781? Answer. The last Campaign having been carried on chiefly by the Certificates of the Quarter Masters & Commissaries for Supplies, the Taxes of that year must necessarily be supplied to satisfy those Certificates; in other words the Certificates must be received for the Taxes; And no money being in the Treasury; we must look forward  to the predictions of the year 1781. 1st. Then the Tax of Specific Supplies & > Specie dollars the Tax for forage amount to > 6,000,000 2d. If the plan of the 18th of March  succeeds, we shall draw from it into the Treasury > 4,000,000 3. The People by draft or Contributions > will answer the Country [ . . . ] > 2,000,000 3d. We depend on a foreign Loan for 25,000,000 Livres equal in specie dollars to > 5,000,000 4. The produce of domestic Loans is uncertain. 5. So is that of an Impost of Trade if the States will agree to it.-  6. In the same manner every other plan of finance we attempted admits of no Certain Conclusions.  Upon the whole it is clear from these hasty Hints that Whatever may be the Success of our own Exertions the Loan of 25,000,000 of Livres in Europe is indispensably necessary: for a brilliant Campaign And this tis the point which Col. Laurens is interested to maintain. Jas. Duane  Philada. 2d Jany 1781.  If you shew this to the General (2) he will be able to correct one article, the Number of Recruites to be raised.(3) I only guess at it. With respect to Bounty which will be allowed each I am certainly within the mark: Virginia gives £1000 Contl. in hand, a Negroe between 10 and 30, or £60 specie & 300 Acres of Land at the End of the War to every Voluntier And one is to be issued on these Terms by every Class of 15 Inhabitants, the State only giving the Land.  P.S. As you did not proceed this morning according to your Intentions I have an oppertunity of giving you further Information.  IV. [Question.] What are the pay & Subsistance of a Regiment of  Cavalry, a Regiment of Infantry and a Regiment of Artillary respectively for one Month on the new Establishment? Answer.  The Establishment of each you'l See in the new Arrangement. Cavalry (1) The Number of officers & privates in a Dollars specie Legion are 450, of which 360 are privates and their pay & Subsistance for a Month is 5348.7.1/2 Number of Legions four. Armand & Lees partizan Corps officers & privates in each 388 of which there are 300 privates: pay & Subsistance of each Corps for a Month ` 4723.7.1/2 Infantry (2) The number of Officers & privates in a Regiment of Infantry 717 of which 576 are privates-their pay & Subsistance for a Month 6251.30/90 Number of Regiments including Hazens 50. Invalids (3) A Regiment of Invalids. Officers & privates 375, privates 291 Pay & Subsistance for a Month 3407 Artificers (4) A Regiment of Artificers. 517 officers & privates 369 being privates; pay & Subsistance for a Month 6012.47/90ths Artillery (5) Four Regiments of Artillery Total of each 645, of which 316 are Matrosses; pay and subsistance of each for one month 8097.77/90ths (6) Maraschause Corps.(4)  V. [Question.] What are the pay and Subsistance of the General & Staff Officers including those of the Hospital, Quarter Masters & Commissaries department? Answer Their pay and Subsistance per Month amounts to 41,335 30/90 Specie dollars  NB. Commander in Chief-No pay: but Expenses which are computed. Commanding officer of Southern Army 900 per Mo  Do of West Point & its Appendages 160 Do  14 Major Generals Each 160 Do per Mo  22 Brigr Generals &c &c &c &c Each 125 per Mo.  VI. [Question.] What are the Articles of provisions to be deliverd by the respective States for the year 1781. Answer Barrels of Beef Barls. Pork Barrells Flour 60,000 35,000 120,000 Gallons of Rum Bushells of Salt 299,999 40,001. And 141,625 hundred Weight of fresh beef, on the foot. Philadelphia 3d Januy. 1781. Jas. Duane ""
"
9608,dg016436,1781,James Duane to George Washington,"""James Duane to George Washington
  My dear General, Philad. 2d January 1781. I receivd with infinite pleasure your very friendly favour by Lt Col. Smith. (1) I shall have occasion to give you some Information on passages of it which you ought to know but I have already trespassed on my Health to assist our new Minister. I have Just got rid of a violent Inflamation in my Throat and find myself at an extinguishd fire an hour after midnight. The provision you wished is made for Col. Smith and I am happy on his Account.(2) I wish I knew what to do for Col. Willet.(3) An officer of his Gallantry and Zeal for the Service ought not to be mortified with a Retirement.  Young Pierce wants the office of paymaster General.4 I know his merit but will the Appointment be agreeable to your Excellency. To speak plainly is he supposed to possess a dignity of Character suitable to the Office? Sir Henry Clintons movements & Retardments, Embarkations, and Debarkations keep our Southern friends here in a constant fever. If General Greene had with him a small regular  JANUARY 2, 1781  force & coud operate before a Junction between the Reinforcement & Cornwallis advanced body, this insolent little Tyrant woud repent his Rashness. Tho' he is rejoicing at his safe Arrival at Charles Town & will never venture so far from home again, his whole force which I verily [believe] does not at his thre posts exceed 2000 men including the shattered Corpse of Tarleton, must have been broken to pieces. Leslie I fear will come up in Time to reanimate them. Adieu my dear children (5) and believe me with the warmest affection, Esteem & Attachment, Your most obedient & most faithful Friend & Servant, Jas. Duane  ""
"
9609,dg016437,1781,Samuel Huntington to Nathanael Greene,"""Samuel Huntington to Nathanael Greene
  Sir, Philada January 2. 1781 I have been favoured with your Despatches of the 7th of December and laid them before Congress.(1) They will do every thing in their Power to supply the Wants of the southern Army.  Enclosed you will receive resolves of Congress of the 28th & 29th Ulto by which you will be informed they approve of your Appointment of Colonel Carrington to be Deputy Quarter Master General.(2)  I have also enclosed for your Information the Extract of a Letter of the 27th Ulto from his Excellency General Washington respecting an Embarkation at New York.(3) I have received no farther Intelligence of their Sailing or Destination.  I have the Honor to be &c &c &c, S.H.  ""
"
